<OPEN_43371>,<HIGH_43371>,<LOW_43371>,<CLOSE_43371>,<OPEN_43403>,<HIGH_43403>,<LOW_43403>,<CLOSE_43403>,<OPEN_43432>,<HIGH_43432>,<LOW_43432>,<CLOSE_43432>,<OPEN_43437>,<HIGH_43437>,<LOW_43437>,<CLOSE_43437>
116830,116900,116830,116870,110590,110640,110580,110600,110000,110100,109960,110090,115570,115580,115480,115480
116880,116900,116840,116860,110600,110750,110590,110660,110090,110120,110080,110090,115490,115660,115490,115660
116850,116890,116850,116880,110670,110720,110650,110670,110080,110160,110060,110150,115660,115670,115600,115610
116880,116900,116860,116900,110670,110720,110620,110620,110140,110160,110070,110090,115610,115670,115550,115580
116890,116930,116850,116880,110630,110640,110550,110560,110080,110080,109930,109990,115600,115650,115590,115630
116880,116910,116870,116890,110570,110630,110550,110600,109990,110010,109910,109950,115630,115670,115570,115590
116900,116900,116850,116870,110610,110680,110590,110660,109960,110040,109960,110010,115600,115640,115590,115610
116870,116930,116860,116920,110670,110720,110610,110630,110000,110070,109970,110050,115620,115640,115550,115600
116920,116930,116900,116910,110640,110680,110570,110570,110050,110050,109900,109950,115600,115690,115600,115650
116920,116930,116890,116910,110580,110630,110550,110600,109950,110010,109950,110010,115660,115660,115610,115610
116900,116930,116880,116880,110600,110650,110540,110570,110000,110020,109960,109990,115610,115630,115570,115610
116880,116900,116820,116870,110560,110580,110500,110510,109990,110060,109990,110020,115620,115640,115590,115610
116870,116960,116870,116920,110510,110570,110480,110530,110020,110030,110000,110020,115600,115640,115600,115640
116930,116950,116900,116910,110530,110650,110530,110630,110010,110050,109990,109990,115640,115640,115520,115520
116910,116930,116860,116930,110630,110640,110570,110570,110000,110020,109960,109960,115520,115600,115520,115540
116920,116960,116910,116960,110570,110650,110550,110600,109960,110010,109940,109940,115530,115560,115520,115530
116960,116990,116940,116950,110600,110640,110570,110620,109950,109990,109920,109930,115530,115620,115510,115580
116940,116960,116930,116960,110630,110640,110580,110610,109940,109950,109860,109880,115590,115590,115560,115570
116950,117130,116950,117110,110610,110610,110430,110470,109880,109930,109830,109910,115570,115610,115560,115580
117110,117140,117080,117120,110480,110530,110440,110490,109900,109950,109840,109920,115590,115660,115580,115600
117130,117160,117100,117130,110500,110510,110360,110400,109910,110000,109890,109960,115600,115640,115580,115630
117110,117190,117090,117170,110400,110400,110320,110340,109960,110000,109950,109970,115620,115660,115580,115610
117150,117180,117080,117100,110350,110430,110340,110410,109970,109970,109940,109940,115610,115620,115580,115590
117090,117110,117050,117070,110420,110470,110390,110410,109950,109980,109910,109970,115590,115620,115580,115590
117090,117150,117060,117130,110420,110450,110380,110390,109980,109980,109890,109890,115580,115600,115550,115580
117130,117160,117100,117150,110380,110440,110380,110420,109880,109910,109870,109910,115590,115600,115550,115560
117150,117310,117130,117310,110430,110440,110380,110410,109900,109910,109810,109880,115560,115630,115560,115630
117310,117340,117250,117310,110410,110430,110400,110410,109870,109920,109830,109910,115620,115670,115600,115660
117310,117400,117300,117370,110410,110440,110400,110420,109920,109960,109890,109930,115650,115680,115600,115620
117370,117380,117320,117340,110410,110410,110330,110360,109920,109980,109910,109980,115620,115670,115590,115610
117340,117390,117330,117360,110360,110420,110350,110400,109980,109990,109890,109910,115610,115720,115580,115650
117370,117400,117350,117390,110410,110470,110310,110390,109920,109970,109920,109940,115650,115720,115550,115550
117390,117530,117380,117510,110400,110420,110370,110390,109930,110050,109920,110050,115550,115580,115520,115560
117510,117650,117510,117620,110400,110400,110360,110380,110040,110070,110010,110050,115550,115590,115540,115570
117600,117620,117460,117500,110390,110410,110220,110270,110050,110060,109990,110010,115560,115600,115480,115480
117510,117590,117510,117560,110270,110270,110160,110220,110000,110040,109990,110040,115480,115540,115470,115500
117580,117580,117500,117530,110210,110250,110130,110250,110040,110060,109980,110000,115510,115540,115490,115530
117540,117570,117500,117510,110250,110250,110200,110210,109990,109990,109860,109870,115520,115560,115500,115550
117500,117500,117440,117460,110210,110240,110180,110190,109870,109880,109770,109860,115540,115590,115530,115580
117460,117500,117400,117440,110190,110260,110180,110240,109870,109880,109760,109770,115560,115580,115510,115520
117440,117520,117440,117460,110230,110230,110170,110200,109790,109860,109770,109820,115530,115590,115490,115490
